,Population,Target,Bin,Type,Description,ICC,F,df1,df2,pval,CI95%
0,adhd,WISC_FSIQ,All,ICC1,Single raters absolute,0.959,47.896,34715,34716,0.0,[0.96 0.96]
1,adhd,WISC_VSI,All,ICC1,Single raters absolute,0.961,49.857,34715,34716,0.0,[0.96 0.96]
2,adhd,WISC_VCI,All,ICC1,Single raters absolute,0.96,48.799,34715,34716,0.0,[0.96 0.96]
3,adhd,WISC_FRI,All,ICC1,Single raters absolute,0.959,47.528,34715,34716,0.0,[0.96 0.96]
4,adhd,WISC_WMI,All,ICC1,Single raters absolute,0.948,37.553,34715,34716,0.0,[0.95 0.95]
5,adhd,WISC_PSI,All,ICC1,Single raters absolute,0.955,43.353,34715,34716,0.0,[0.95 0.96]
6,adhd,WISC_FSIQ,Bin 1,ICC1,Single raters absolute,0.974,76.008,34715,34716,0.0,[0.97 0.97]
7,adhd,WISC_VSI,Bin 1,ICC1,Single raters absolute,0.949,38.133,34715,34716,0.0,[0.95 0.95]
8,adhd,WISC_VCI,Bin 1,ICC1,Single raters absolute,0.968,61.623,34715,34716,0.0,[0.97 0.97]
9,adhd,WISC_FRI,Bin 1,ICC1,Single raters absolute,0.985,135.524,34715,34716,0.0,[0.99 0.99]
10,adhd,WISC_WMI,Bin 1,ICC1,Single raters absolute,0.963,53.786,34715,34716,0.0,[0.96 0.96]
11,adhd,WISC_PSI,Bin 1,ICC1,Single raters absolute,0.923,25.094,34715,34716,0.0,[0.92 0.92]
12,adhd,WISC_FSIQ,Bin 2,ICC1,Single raters absolute,0.979,93.525,34715,34716,0.0,[0.98 0.98]
13,adhd,WISC_VSI,Bin 2,ICC1,Single raters absolute,0.938,31.333,34715,34716,0.0,[0.94 0.94]
14,adhd,WISC_VCI,Bin 2,ICC1,Single raters absolute,0.955,43.083,34715,34716,0.0,[0.95 0.96]
15,adhd,WISC_FRI,Bin 2,ICC1,Single raters absolute,0.961,50.025,34715,34716,0.0,[0.96 0.96]
16,adhd,WISC_WMI,Bin 2,ICC1,Single raters absolute,0.982,112.739,34715,34716,0.0,[0.98 0.98]
17,adhd,WISC_PSI,Bin 2,ICC1,Single raters absolute,0.98,101.382,34715,34716,0.0,[0.98 0.98]
18,adhd,WISC_FSIQ,Bin 3,ICC1,Single raters absolute,0.973,73.209,34715,34716,0.0,[0.97 0.97]
19,adhd,WISC_VSI,Bin 3,ICC1,Single raters absolute,0.934,29.295,34715,34716,0.0,[0.93 0.94]
20,adhd,WISC_VCI,Bin 3,ICC1,Single raters absolute,0.96,48.995,34715,34716,0.0,[0.96 0.96]
21,adhd,WISC_FRI,Bin 3,ICC1,Single raters absolute,0.971,67.863,34715,34716,0.0,[0.97 0.97]
22,adhd,WISC_WMI,Bin 3,ICC1,Single raters absolute,0.931,28.043,34715,34716,0.0,[0.93 0.93]
23,adhd,WISC_PSI,Bin 3,ICC1,Single raters absolute,0.98,97.946,34715,34716,0.0,[0.98 0.98]
