,Model,Population,Target,Bin,Alpha,Score,P-value,FDR
0,ridge,adhd,WISC_FSIQ,All,9901,0.3765426377539203,0.0019960079840319,True
1,ridge,adhd,WISC_FSIQ,Bin 1,701,0.2652582360313679,0.0199600798403193,True
2,ridge,adhd,WISC_FSIQ,Bin 2,5701,0.3516651707985068,0.0019960079840319,True
3,ridge,adhd,WISC_FSIQ,Bin 3,1,0.1055394797191739,0.1776447105788423,False
4,ridge,adhd,WISC_VSI,All,9901,0.3111920280986791,0.0019960079840319,True
5,ridge,adhd,WISC_VSI,Bin 1,9901,0.2449295685515173,0.0179640718562874,True
6,ridge,adhd,WISC_VSI,Bin 2,9901,0.2084647643878326,0.0219560878243512,True
7,ridge,adhd,WISC_VSI,Bin 3,9901,0.0878225816053085,0.2295409181636726,False
8,ridge,adhd,WISC_VCI,All,9601,0.3858635023201845,0.0019960079840319,True
9,ridge,adhd,WISC_VCI,Bin 1,1,0.2233345603500699,0.0279441117764471,False
10,ridge,adhd,WISC_VCI,Bin 2,9901,0.3519893533201835,0.0019960079840319,True
11,ridge,adhd,WISC_VCI,Bin 3,7101,0.0373325676079062,0.4031936127744511,False
12,ridge,adhd,WISC_FRI,All,9901,0.2983815852115594,0.0019960079840319,True
13,ridge,adhd,WISC_FRI,Bin 1,2301,0.0474831348335559,0.3473053892215569,False
14,ridge,adhd,WISC_FRI,Bin 2,8401,0.314251121384223,0.0039920159680638,True
15,ridge,adhd,WISC_FRI,Bin 3,1,-0.01302316179587,0.5189620758483033,False
16,ridge,adhd,WISC_WMI,All,5501,0.2082074732188561,0.0039920159680638,True
17,ridge,adhd,WISC_WMI,Bin 1,1,0.0484000604727646,0.3572854291417165,False
18,ridge,adhd,WISC_WMI,Bin 2,4401,0.2885742175403478,0.0039920159680638,True
19,ridge,adhd,WISC_WMI,Bin 3,9901,0.1040520794782675,0.1836327345309381,False
20,ridge,adhd,WISC_PSI,All,9901,0.0463206967722037,0.2574850299401197,False
21,ridge,adhd,WISC_PSI,Bin 1,9901,-0.0940827598983625,0.7924151696606786,False
22,ridge,adhd,WISC_PSI,Bin 2,4401,0.0617722825102457,0.2634730538922156,False
23,ridge,adhd,WISC_PSI,Bin 3,1,0.0902280339206797,0.2574850299401197,False
